"","url","title","total_price","hu_xin","mian_ji","unit_price","chao_xiang","lou_ceng","zhuang_xiu","xiao_qu","qu_yu","xue_xiao","jianzu_year","id","publish_date","core_maidian","imgs"
"1","http://esf.gz.fang.com/chushou/18_221808164_12165234x2811284270_165823233.htm","康乐园欢迎看房业主急售可公积金入读不要带车位","138","3室2厅2卫","72","19167元/平米","南北","中层","精装修","康乐园","番禺市桥北","市桥中心小学","2012年","221808164","2018-02-26","核心卖点·核心卖点房源真实100％实图.超低笋——盘房源描述：72方3房.105万带豪华装修南北对流..送车位.送家私家电杨经理：18316238589*惊喜不断.业主急售——来电可享受看房团优惠折扣..免费专车·业主心态业主现在是换房急售低于市场价出售装修保养新净采光通风好价钱可谈·税费分析这套房子是满五年唯壹的，税费很低·小区配套小区绿化率高40%配套有篮球场，羽毛球场，游泳池，儿童活动。老人活动室自带公里幼儿园人车分流，车位1：1.2物业管理严格，没有业主卡进出必须登记内有便利店小超市满足日常需要·服务介绍本人是中原地产客户经理：谢国明主要负责番禺区二手一手主要负责广州，佛山，中山，等珠三角都有房源本人从2014年到今已经拥有3年以上的工作经验，熟悉各个流程选择专业买卖房找","['http://cdnsfb.soufunimg.com/viewimage/3/2017_12/15/M15/8/c94e4811046943c898968cd380f44af0/126x82.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2017_12/15/M15/8/7548464479a044f0b1d7546c3063be3e/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2017_12/15/M15/8/9ebd59de85f74eed8269db789743e2b2/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2017_12/15/M15/8/c55d7a14e6134cdb83b8750013ada87c/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2017_12/15/M15/8/c8a542a85fb34ec1a2e221d4b28e7bf2/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2017_12/15/M15/8/de691429b13348d8a0b4b261c55743ad/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2017_12/15/M15/8/290c50d8eaa5493892a9dd3341a57756/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/2/2017_12/15/M15/8/3f84f767ab9743c295085637b3f42391/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/2/2017_12/15/M15/8/5cce4db353824012a7faaf47bb4b9b22/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/2/2017_12/15/M15/8/d851c0372518493a9c7c44e1e3f4b027/126x82c.jpg']"
"2","http://esf.gz.fang.com/chushou/18_220877477_12001703x2811284270_165612853.htm","康乐园南向2房保养新净入读总价随看","148","2室2厅1卫","67","22090元/平米","南","低层","精装修","康乐园","番禺市桥北","市桥中心小学","1997年","220877477","2018-02-23","更多房源，请点击我的头像。一、*理由：1、客厅宽敞大气，厅出阳台，视野开阔。2、交通便利，、公交就在小区门口。3、带精装修，，我有钥匙，看楼随时方便。4、真实图片实景拍摄，你所看到的如身临其境一般。二、户型介绍：1、户型：2房2厅，厅出阳台，光线充足，通风好。2、这套房子共7，该单元位于6层。3、南向2房，房大厅大，光线好，*的选择。","['http://img11.soufunimg.com/viewimage/agents/2018_02/04/M0D/1A/58/ChCE4Fp2yOqILvf4AAA1rbcGM24AA-xkgAiI3MAADXF869/126x82.jpg','http://img11.soufunimg.com/viewimage/agents/2018_02/04/M1B/1A/58/ChCE4Fp2yOuIKltIAAF_mFbGnFQAA-xfAItbx8AAX-w423/126x82c.jpg','http://img11.soufunimg.com/viewimage/agents/2018_02/04/M1C/1A/58/ChCE4lp2yO2IDcsvAAFfutG4RzcAA-xigE4olgAAV_S599/126x82c.jpg','http://img11.soufunimg.com/viewimage/agents/2018_02/04/M15/1A/58/ChCE4lp2yO6INUTPAAGFjiqORFQAA-xgAIhJuoAAYWm465/126x82c.jpg','http://img11.soufunimg.com/viewimage/agents/2018_02/04/M21/1A/58/ChCE4Fp2yO-IRQNTAAELhBRaRG8AA-xfwJYru8AAQuc006/126x82c.jpg','http://img11.soufunimg.com/viewimage/agents/2018_02/04/M19/1A/58/ChCE4lp2yPCIMluVAAFVx2RuL0gAA-xcwOukI0AAVXf560/126x82c.jpg','http://img11.soufunimg.com/viewimage/agents/2018_02/04/M1A/1A/58/ChCE4lp2yPGIdF7JAAHsKUuN8u4AA-xkAA-OUUAAexB863/126x82c.jpg','http://img11.soufunimg.com/viewimage/agents/2018_02/04/M03/1A/58/ChCE4Fp2yPKIHeA4AAH71ICbGI0AA-xhgFh5CcAAfvs421/126x82c.jpg','http://img11.soufunimg.com/viewimage/agents/2018_02/04/M06/1A/58/ChCE4Fp2yPSIP3zfAAQwsoxUzsEAA-xlAAMePQABDDK938/126x82c.jpg','http://img11.soufunimg.com/viewimage/agents/2018_02/04/M08/1A/58/ChCE4Fp2yPWIS8CtAAFzS4TWTFAAA-xeALnlI4AAXNj114/126x82c.jpg','http://img11.soufunimg.com/viewimage/agents/2018_02/04/M01/1A/58/ChCE4lp2yPeIVa0RAAO4-Us7ayQAA-xgwHf6_0AA7kR423/126x82c.jpg','http://img11.soufunimg.com/viewimage/agents/2018_02/04/M10/1A/58/ChCE4Vp2yPiIdUKWAAO88ogKkgsAA-xfgI7vW8AA70K402/126x82c.jpg','http://img11.soufunimg.com/viewimage/agents/2018_02/04/M13/1A/58/ChCE4Vp2yPqIFJ_KAAOfavw5dZIAA-xdQNDTvIAA5-C861/126x82c.jpg','http://img11.soufunimg.com/viewimage/agents/2018_02/04/M09/1A/58/ChCE4Fp2yPyIMJwLAAKHpULptrIAA-xjQCa4zYAAoe9732/126x82c.jpg','http://img11.soufunimg.com/viewimage/agents/2018_02/04/M19/1A/58/ChCE4lp2yP2IcMzhAAOux-YH7TEAA-xcwOz59EAA67f197/126x82c.jpg','http://img11.soufunimg.com/viewimage/agents/2018_02/04/M0D/1A/58/ChCE4Vp2yP6IVhibAAPI6_Ot000AA-xkgAqFREAA8kD619/126x82c.jpg']"
"3","http://esf.gz.fang.com/chushou/18_218607974_12152284x2811513548_164819599.htm","禺华园，入读，近上班，140万。","140","2室2厅1卫","76","18421元/平米","南北","低层","简装修","禺华园","番禺市桥南","市桥中心小学","1998年","218607974","2018-01-04","1.房子是禺华园2室的房子，南北通透朝向的户型，业主07年又从新装修了，房子满两年.2.看房特别方便，因为业主诚心卖，想要在本小区内换房，小区*市桥车站只有几*的时间，交通很方便。3.小区的,有，小区的空气特别好，周边的配套设施齐全，门口有活动.4.现在市场上有很多房源待售，您对房子的选择性更多，在这个时候出来看房，有利于您能时间了解到房源的动态，以便在房价变动时候及时出手买房~5.我在市桥二手房行业有两年之久，对市桥附近小区的了解特别详细，如果您有对这边房源的需求或者对房产信息的了解，请及时电话联系我~~希望通过我能帮您解决买房的困难。","['http://cdnsfb.soufunimg.com/viewimage/3/2017_12/18/M20/5/22db4910614c43fc81687078dd990a80/126x82.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2017_12/18/M20/5/8ae8987c2e4743288955ab88272b3794/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2017_12/18/M20/5/2fbb073e6e1745f39c7ae204755be4b9/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2017_12/18/M20/5/8432e6f50c8847b982ee37ba36d86db8/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2017_12/18/M20/5/8ad57332afc445b99885ece0961ff7af/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2017_12/18/M20/5/cff228f45a9a4c05b2783acd404f367a/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2017_12/18/M20/5/89051a9d6c904a66af563d7976c0e1a3/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/2/2017_12/18/M20/5/a1695b6772b241498e8dbc3b7c7e2012/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/2/2017_12/18/M20/5/b78e0dbfaeb747239d18b651c40a3b33/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/2/2017_12/18/M20/5/8991e3b81f0f4da583769284cf5bd1a4/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/2/2017_12/18/M20/5/7abec2dca32a48c3a1908ac44dbedf2f/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/2/2017_12/18/M20/5/8576d1b8a01f41c7aadeb27c778b4c7f/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/2/2017_12/18/M20/5/2ea3d052a6d34b149307abe7413b6da3/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/2/2017_12/18/M20/5/0384d9dc19e14426bc08bc271bac53ec/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/2/2017_12/18/M20/5/54fe4b4c0c1a4ae2964bf22a7b636894/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/2/2017_12/18/M20/5/fd29cd555d684a798b16397da6049907/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/2/2017_12/18/M20/5/f13ccc1411ef4fd0af689f3be1bd4aa6/126x82c.jpg']"
"4","http://esf.gz.fang.com/chushou/18_219393599_12138798x2811513548_165953165.htm","市桥禺华园首付32万低税费交通便捷成熟配套格局方正学业房","140","3室1厅1卫","92","15217元/平米","南","中层","精装修","禺华园","番禺市桥南","市桥中心小学","1998年","219393599","2018-03-07","1户型3房2厅1厨1卫1阳台2装修精装，温馨舒适，换房急售3产权满五年，产权清晰，交易流程简单，全程有我陪同4朝向南北通透格局方正全明户型不靠路恬静的舒适业主诚心出售业主换房诚信放卖，来电随时看房，看房方便小区配套1、小区环境优雅.配套成熟.2、环境优美适住、人文素质高物业管理完善3、小区的小，属于低密度社区，适住4、小区的较高，让您感受花园一样的家经纪人服务：置换服务、新房买卖、物业交割本人从事房多年，一直本着专业的房产知识为您服务，我会用心在短的时间内帮您买好满意的房子，不让您错失任何好房子，更不让您每天为买房的事烦心，欢迎随时拨打我电话。诚心买房子的朋友,只想为幸福的人们、找到温暖的家.","['http://img1.soufunimg.com/viewimage/agents1/2011_06/02/16/51/44/gz/houseinfo/400349015300/126x82.jpg','http://img11.soufunimg.com/viewimage/agents/2018_01/13/M0D/19/24/ChCE4VpZvZmIdKsGAAEM2OD-l0gAA85UAHoCR8AAQzw942/126x82c.jpg','http://img11.soufunimg.com/viewimage/agents/2018_01/13/M12/19/25/ChCE4FpZvZmIKNKiAAI4JZFbCPAAA85YwAYps4AAjg9814/126x82c.jpg','http://img11.soufunimg.com/viewimage/agents/2018_01/13/M1B/19/25/ChCE4lpZvZqIOBY8AAJkMbXLAa8AA85YgAtUkoAAmRJ252/126x82c.jpg','http://img11.soufunimg.com/viewimage/agents/2018_01/13/M11/19/24/ChCE4VpZvZqIN2DoAAFrrMrL5MUAA85RAPZJHEAAWvE408/126x82c.jpg','http://img11.soufunimg.com/viewimage/agents/2018_01/13/M17/19/24/ChCE4lpZvZqIUNmkAAHss9GSxBIAA85VAFXAxkAAezL746/126x82c.jpg','http://img11.soufunimg.com/viewimage/agents/2018_01/13/M00/19/25/ChCE4lpZvZuIeV5QAAIL2CYMZf8AA85ZAAhPBcAAgvw130/126x82c.jpg','http://img11.soufunimg.com/viewimage/agents/2018_01/13/M04/19/24/ChCE4VpZvZuIUCUvAAFaW1XzbNkAA85UwH9t8QAAVpz242/126x82c.jpg','http://img11.soufunimg.com/viewimage/agents/2018_01/13/M10/19/24/ChCE4lpZvaCICNkZAAG0BfsEAqQAA85VgEian8AAbQd321/126x82c.jpg','http://img1.soufunimg.com/viewimage/agents/2009_08/20/gz/project/1250758760618_000/126x82c.jpg','http://img1.soufunimg.com/viewimage/agents/2009_08/20/gz/project/1250758877369_000/126x82c.jpg','http://img1.soufunimg.com/viewimage/agents/2009_08/20/gz/project/1250758754731_000/126x82c.jpg']"
"5","http://esf.gz.fang.com/chushou/18_222112033_12252245x2811513548_165944066.htm","番禺市桥禺华园读近小区中间位置不靠路","150","3室2厅2卫","86","17442元/平米","南","高层","简装修","禺华园","番禺市桥南","市桥中心小学","1998年","222112033","2018-03-05","1.户型：此户型好用，方正格局，厅出阳台正望小区花园，厨房有生活阳台，南北对流。2.装修：风格为中式带欧式风格，装修将近有3年了，保养好，如果对装修没有很高要求的话基本上可以随时入住。3.位置：此房位于小区中间花园位置，前后楼距宽阔，光线。4.产权：房产证过5年且一套物业，免营业税及个人所得税，无按揭，产权清晰，方便交易，到价即签。5.屋内详情请看图片或者联系本人。","['http://cdnsfb.soufunimg.com/viewimage/1/2018_2/25/M17/45/b65645cfb96f4160bc6add8de336bdf2/126x82.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2018_2/25/M17/45/d6d4bbfcaeab4209a870221b2f0cab8d/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2018_2/25/M17/45/e9479ae8d9a340dc8aa252848a44b477/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2018_2/25/M17/45/67520199738c4e6286ff0b66879c7470/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2018_2/25/M17/45/c0fbfdc830db49868e638367b2e77ef1/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2018_2/25/M17/45/c314120bf0f2471ba20d8446a31cb5f4/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2018_2/25/M17/45/21dcd8cba070418bbfa32509fa8b0b22/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2018_2/25/M17/45/7e6b62a34fc54762a40932118761ac8d/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2018_2/25/M17/45/aa1ca8638f274012b349a022030e43be/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2018_2/25/M17/45/9d8bb87978dd419eaae8b3f316e3bbcf/126x82c.jpg']"
"6","http://esf.gz.fang.com/chushou/18_219049772_12273423x2811537058_165970124.htm","繁华路繁华地段中间楼层方正3房","150","3室1厅2卫","90","16667元/平米","南","高层","简装修","繁华路大院","番禺市桥北","市桥中心小学","1995年","219049772","2018-02-06","一、房源优势：1.此房户型：3室2厅1厨2卫1阳台，朝向：南北通透，格局相当漂亮，双卧和客厅是分离开的，客厅有独立的2个面，特别好摆家具和电器。2.位置独特，视野开阔，空气清新，紧对花园，特别适合居家过日子。3.清晨时，您站在客厅里，沉浸着旭日的光辉，精神饱满舒畅啊！4.本房价位超值，几套抄底房子，请大家把握好机会。5.本房步行去地铁15以内。","['http://cdnsfb.soufunimg.com/viewimage/3/2018_1/8/M20/27/943bccb04b9a40a8ba7de74dc175ef4e/126x82.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2018_1/8/M20/27/392dc6857cd14ec6a071e047f85d6f7a/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2018_1/8/M20/27/df4731b29bfe4bdd9a1d143348d69bca/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2018_1/8/M20/28/543fe5cec3f44b2289b3a08257a937e4/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2018_1/8/M20/28/3921c4cb2ad641efad398fae2f9f0de3/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2018_1/8/M20/28/feb1453356ef41908e382cfa1fd5fd55/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2018_1/8/M20/28/fbe89e02217e44a1940b0dd7c11d0ab1/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2018_1/8/M20/28/55a4ae3c73ba4376843ba2896fab2949/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2018_1/8/M20/28/140e782a37f64c98a5c708fd90e741f7/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2018_1/8/M20/28/f3bc74e2b2b44e64a5353f02c3142443/126x82c.jpg','http://img1.soufunimg.com/viewimage/agents/2009_08/20/gz/project/1250740005469_000/126x82c.jpg','http://img1.soufunimg.com/viewimage/agents/2009_08/20/gz/project/1250739805527_000/126x82c.jpg','http://img1.soufunimg.com/viewimage/agents/2009_08/20/gz/project/1250740008239_000/126x82c.jpg','http://img1.soufunimg.com/viewimage/agents/2009_08/20/gz/project/1250739798344_000/126x82c.jpg','http://img1.soufunimg.com/viewimage/agents/2009_08/20/gz/project/1250739803448_000/126x82c.jpg']"
"7","http://esf.gz.fang.com/chushou/18_221446021_12766399x2811867858_160568146.htm","乐华街大院简约舒适三房保养新净天伦之乐园景房急售","135","3室2厅2卫","93","14516元/平米","南北","中层","豪华装修","乐华街大院","番禺市桥北","市桥中心小学","2012年","221446021","2018-02-09","房源：1、客厅宽敞大气，厅出阳台，视野开阔!2、交通.便利，公交站就在门口！3、带精装修提包入住，看房方便，我有钥匙！4、真实图片实景拍摄，绝不会用假照片吸引您","['http://cdnsfb.soufunimg.com/viewimage/3/2018_2/9/M20/37/1cae338ee8bb4b4c956829f1fdf0e76b/126x82.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2018_2/9/M20/37/db08990a386d4cfdaeba02217d5d9909/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2018_2/9/M20/37/417b448dc8c24f8bbf5ff8ad4b8546e6/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2018_2/9/M20/37/c43379cd40b34986a73cbf952c9a9c04/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2018_2/9/M20/37/cbd319059d8148559bd33d7e25fa7948/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2018_2/9/M20/37/c313b36294704dd08b7547e059bca3f9/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2018_2/9/M20/38/7cc98e5bf97042e6864e399a54e20331/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2018_2/9/M20/37/f1d49cdb0f1d49018ce7fc50b07e40aa/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/2/2018_2/9/M20/38/41b0df10bb2c4bf7a85d588743cf9926/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/2/2018_2/9/M20/38/f672c2b3bb3f49d4a6dd97e98b701ca4/126x82c.jpg']"
"8","http://esf.gz.fang.com/chushou/18_206767779_12141546x2811723938_165299715.htm","东祥街只为东城之选","88","2室1厅1卫","66","13333元/平米","南","中层","简装修","东祥街社区","番禺市桥东","市桥东城小学","1993年","206767779","2018-01-04","很感谢您进来看到我的房源，希望你可以耐心的看完这套房源的简介。业主（房屋）情况：1：该单位，产权清晰,房产66方，实用三房，过两年，没贷款。2：该单位，南北对流，位于小区，安静通风，格局方正。3：该单位，两梯六户，混合结构，1998年建的房子。4：入读省一级德兴，侨城，东风。5：现代简约装修，距离番禺广场站步行仅需12min，周边医院，超市，市场样样俱全。睇楼热线：18588715991（陈先生）全天候为您开机服务","['http://imgs.soufun.com/viewimage/house/2011_03/31/gz/1301552033137_000/126x82c.jpg','http://imgs.soufun.com/viewimage/house/2011_03/31/gz/1301552034522_000/126x82c.jpg']"
"9","http://esf.gz.fang.com/chushou/18_222252602_12078159x2811329052_164753076.htm","幼儿园中底楼层实用精装两房新装修","115","3室2厅2卫","88","13068元/平米","南","中层","精装修","东沙小区","番禺市桥东","市桥东城小学","2008年","222252602","2018-03-08","1、房子普通装修，中楼层，没有浪费面积,公摊面积只有1平方，比较实用,简单装修一下就可以住了。采光好，南北对流。2、户型方正，南北对流，配套好，满五住房，免重税3、周边配套周边生活配套设施一应俱(二手房)周围商店：国立电器、群众购物、信和、好又多周边银行：广东发展银行、农村信用合作社、","['http://cdnsfb.soufunimg.com/viewimage/3/2017_6/3/M19/36/77c1f4f471214e908edc8205ed44ea5d/126x82.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2017_6/3/M19/36/454838d91ee34b74a7b8e6af983c5b28/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2017_6/3/M19/36/90d5e5641cc4488e85308190953cbd03/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2017_6/3/M19/36/8e0e45dbea384f4abce7e6bdc7657452/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2017_6/3/M19/36/de7aca77d57945ef91ef2c0c0c4e6594/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2017_6/3/M19/36/0b8a09fb5fa44ec7a2ad9c610aebc1aa/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2017_6/3/M19/36/16999829451d4f5e80d10ede6d5981d2/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2017_6/3/M19/36/1ef62cbfca5441409254aab2f127390d/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/2/2017_6/3/M19/36/2bee3e11dbdf4a9aa58f515f8004dd66/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/2/2017_6/3/M19/36/382a668abe2f469cb4e5436edff72ac4/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/2/2017_6/3/M19/36/f25d7df756864810b8427f5a18766ffb/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/2/2017_6/3/M19/36/db63f4fd33e54c8eb053119ed925ca30/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/2/2017_6/3/M19/36/26c210098c964518b221bb9d4c5f7b7c/126x82c.jpg']"
"10","http://esf.gz.fang.com/chushou/18_222141467_12917174x2811329052_165905602.htm","东沙小区保养很好,适合或者过渡,总115万精装3室","115","3室2厅1卫","86","13372元/平米","南北","低层","精装修","东沙小区","番禺市桥东","市桥东城小学","2012年","222141467","2018-03-06","1、户型：3室2厅，视野开阔.保养好.性价比高.2、这套房子位于中层.通风采光都不错3、厨房宽敞，让您和家人有足够的空间展现私家厨艺4、客厅宽敞大气，厅出阳台，视野开阔!5、交通便利，--公交站就在门口！6、带精装修提包入住，看房方便，我有钥匙！","['http://cdnsfb.soufunimg.com/viewimage/3/2018_3/4/M21/22/6ac2404d633b4689a5982168ed716312/126x82.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2018_3/4/M21/22/788427e1fc10482dbf5b9fbf3e6b60e1/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2018_3/4/M21/22/34dc3fe888904e9c951de4522783bcd9/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2018_3/4/M21/22/b6200fb602d64206821032884c689bef/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2018_3/4/M21/22/6c20e76ae69a456f9b092c5dc8c966fe/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2018_3/4/M21/22/0e297b2e36cf4485aab03953e67f4263/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2018_3/4/M21/22/dd8012241dad4011af79d9da67422bf2/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2018_3/4/M21/22/1a0c984726e64104b3745f1087d51be4/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/1/2018_3/4/M21/22/f0f3171d564a44969a32a07dafc8bd15/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/2/2018_3/4/M21/22/c37f5bb6a99c47dbaf36575513f27716/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/2/2018_3/4/M21/22/ab88894c4b9e4fc3bdacd9b0b8f621df/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/2/2018_3/4/M21/22/33a1b931439543d68c1624d0b3afe308/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/2/2018_3/4/M21/22/35ba625e6e814ac996713a9d1f8e9af0/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/2/2018_3/4/M21/22/f16fe0cab785493aa64f106f13ec9b52/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/2/2018_3/4/M21/22/e544e99467904a6d8597ad02a227188a/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/2/2018_3/4/M21/22/2aab8a53f0054b7692e5fd934ab0c9d5/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/2/2018_3/4/M21/22/783e8e8029024905bdd41209f0af3e20/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/2/2018_3/4/M21/22/f0c5cfa5b20f408a8f61bd0153bdc068/126x82c.jpg','http://cdnsfb.soufunimg.com/viewimage/2/2018_3/4/M21/22/d8c384b9c6bc4975bbd78846f0f1afa4/126x82c.jpg']"
